Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cr2O3;SrO;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Hf-176/177;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Pb-206/204;Pb-207/204;Pb-208/204;Sm-147/Nd-14;Sr-87/86;Ra-226;U-238/235;V-51/50;Loss on Ignition;Comment
AC-E;Concentration;14.7;0.34;0.07;1.34;2.53;1.07;0.22;0.15;;4.49;0.02;0.03;0.058;6.54;0.014;70.35;0.11;0.006762;0.00614075;0.000496927;0.000354783;0.02788262;0.1053;;0.1;7.78;2.3;;21;55;12;0.4;0.5;;2400;0.6;154;180;0.2;3.4;3;4;29;17.7;2;2100;1.77;39;26;2.3;;27.9;;6.5;;0.11;;3.73;59;93;2.45;;450;2.5;;4.85;110;92;1.5;;;61;39;;22.2;;152;;;;70;0.4;0.11;;;24.2;13;3;6.4;4.8;;18.5;;0.9;2.6;4.6;3;1.5;184;17.4;224;780;;;;;;;;;;;;;;;;;;0.37;
AC-E;Uncertainty;0.05;0.02;0.02;0.06;0.02;0.04;0.04;0.02;;0.02;0.0011;0.01;0.002;0.04;0.004;0.07;0.02;0.0008372;0.00055825;0.000175386;9.46088E-05;0.000746856;0.0027;;0.04;0.03;1;;2.6;5;1.1;;;;140;0.3;4.7;;0.1;1.2;0.54;0.9;1.5;1.2;0.09;200;0.014;3.7;1.5;;;1.4;;0.5;;;;0.017;2;5;0.11;;15;0.9;;0.03;5;6;0.5;;;17;3;;2.6;;2.1;;;;;0.08;0.05;;;0.8;4;0.8;0.3;0.2;;0.7;;;0.24;0.46;1;0.4;5;0.5;6;20;;;;;;;;;;;;;;;;;;;
AC-E;Units;%;%;%;%;%;%;%;%;;%;%;%;%;%;%;%;%;%;%;%;%;%;%;;ppm;%;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;;ppm;;ppm;;%;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;;ppm;;ppm;;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;%;
AC-E;N;126;134;13;51;146;48;30;33;;146;29;107;153;140;88;124;134;8;78;47;61;93;79;;6;126;17;;8;78;24;;;;134;9;60;7;40;47;25;54;25;18;41;14;146;28;27;;;24;;18;;;;146;66;29;34;;153;18;;140;60;49;39;;;88;65;;15;;90;;;;8;8;25;;;46;14;61;22;26;;52;;;13;34;22;8;78;48;93;79;;;;;;;;;;;;;;;;;;59;
AC-E;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Working value;Working value;;Working value;Working value;Working value;Provisional value;Provisional value;;Working value;Working value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;Working value;;Working value;;Provisional value;;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;Working value;Working value;Working value;;;Working value;Working value;;Working value;;Working value;;;;Provisional value;Working value;Working value;;;Working value;Working value;Working value;Working value;Working value;;Working value;;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;;;;;;;;;;;;;;;;;Working value;
AGV-1;Concentration;17.15;4.94;0.03;4.46;6.77;2.06;0.78;1;1.78;2.92;;1.53;0.092;4.26;0.49;58.84;1.05;0.0025116;0.1368829;0.001476166;0.07828879;0.01095389;0.030645;99.74;0.078;9.07;0.88;0.00062;7.8;1226;2.1;0.057;0.32;90;3.53;0.069;67;119;15.3;10.1;1.28;60;3.6;1.7;1.64;425;4.73;20;5;1.25;1300;5.1;0.02;0.67;0.27;0.041;0.0002;2.42;38;12;0.27;0.92;710;2.7;38;3.16;15;33;16;47.2;bdl;2150;36;0.0022;7.6;0.0011;67.3;0.00038;bdl;bdl;26;4.3;12.2;0.05;27.48;5.9;4.2;662;0.9;0.7;0.0019;6.5;6300;0.34;0.34;1.92;121;0.55;20;1.72;88;227;;;;;;;;;;18.81;15.59;38.46;;0.704062;0.69;;;1.21;There were two datasets for BaO. The data set with the better data quality is shown. The other dataset is: BaO, Concentration: 0.14, Uncertainty: 0.01, Units: %, N: 130, Data Quality: Recommended value.
AGV-1;Detection limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00002;;;;;;;;0.0001;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGV-1;Uncertainty;0.15;0.14;0.03;0.22;0.17;0.11;0.16;0.18;0.2;0.08;;0.1;0.01;0.11;0.04;0.28;0.05;0.0003864;0.00189805;0.000350772;0.001064349;0.001120284;0.00243;0.68;0.028;0.08;0.11;0.00012;1.2;17;0.3;0.008;0.17;70;0.1;0.009;5;6;1.6;2.4;0.14;5;0.3;0.2;0.1;32;0.12;3;0.5;0.13;440;0.4;0.009;0.1;0.03;0.006;0.0003;0.07;3;1.6;0.03;0.06;50;0.9;6;0.08;3;3;3;0.3;;160;5;0.0003;1.1;;0.9;;;;11;0.4;1.1;0.05;0.13;0.4;1.1;9;0.09;0.1;0.0006;0.5;300;0.06;0.13;0.15;11;0.09;3;0.19;9;18;;;;;;;;;;;;;;0.000048;;;;;
AGV-1;Units;%;%;%;%;%;%;%;%;%;%;;%;%;%;%;%;%;%;%;%;%;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;pCi/g;;;%;
AGV-1;N;150;162;17;37;181;51;27;32;3;173;;145;170;137;88;139;159;22;130;111;160;110;112;;23;150;24;8;22;130;24;13;7;17;162;18;102;25;138;111;51;118;42;27;91;35;181;66;48;13;3;46;27;36;5;10;6;173;108;43;66;145;170;40;3;137;49;67;120;14;3;88;92;3;29;2;147;2;1;1;9;42;75;10;139;91;32;160;43;67;3;97;159;25;31;74;99;18;68;89;110;112;;;;;;;;;;1;1;1;;4;1;;;2;
AGV-1;Data Quality;Certified value equivalent;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;;Recommended value;Not provided by compiler;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Certified value equivalent;Provisional value;Certified value equivalent;Recommended value;Recommended value;Not provided by compiler;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;Certified value equivalent;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Certified value equivalent;Certified value equivalent;Recommended value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Recommended value;Certified value equivalent;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;Provisional value;Provisional value;Provisional value;;Provisional value;Provisional value;;;Provisional value;
AL-I;Concentration;18.59;0.384;0.2;0.03;0.075;0.04;0.29;0.06;;0.14;;0.035;0.004;10.59;0.038;69.34;0.0112;;0.009490251;0.00029231;0.00946088;0.000746856;0.0054;;;9.83;0.8;;;85;2.7;0.03;;;2750;0.03;21;110;0.2;2;0.34;3;1.5;0.6;0.19;45;0.052;20;1.9;1.4;;2.6;;0.28;;0.01;;1160;9.5;1;0.13;;30;0.1;;7.86;1.6;10.4;2;;;170;4.5;;2.8;;5.8;;;;85;0.2;1.75;;;2.8;0.4;80;1.9;0.3;;9.5;;0.04;0.1;5.8;2;0.2;6.8;0.7;6;40;;;;;;;;;;;;;;;;;;0.4;
AL-I;Uncertainty;0.1;0.02;0.1;0.01;0.01;0.01;0.005;0.01;;0.01;;0.01;0.002;0.1;0.01;0.16;0.004;;0.0006699;0.000146155;0.000591305;0.000186714;0.00054;;;0.05;0.4;;;6;0.3;;;;140;;1;;0.1;1;0.1;0.5;0.2;0.1;0.02;7;0.007;0.5;0.2;;;0.2;;0.05;;;;80;0.6;0.14;0.02;;15;0.03;;0.07;0.3;0.6;1;;;44;0.7;;0.3;;0.5;;;;;0.1;0.2;;;0.3;0.2;5;0.3;0.06;;1;;;0.015;0.6;1;0.1;0.4;0.1;1.5;4;;;;;;;;;;;;;;;;;;;
AL-I;Units;%;%;%;%;%;%;%;%;;%;;%;%;%;%;%;%;;%;%;%;%;%;;;%;ppm;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;;ppm;;ppm;;ppm;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;;ppm;ppm;;ppm;;ppm;;;;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;%;
AL-I;N;83;85;10;17;79;16;22;29;;86;;67;61;85;57;82;44;;49;24;54;41;42;;;83;6;;;49;12;3;;;85;;24;5;11;24;9;17;10;7;17;10;79;13;10;;;12;;4;;;;86;24;12;17;;61;;;85;21;17;17;;;57;22;;;;37;;;;6;8;16;;;17;;54;9;9;;28;;;;24;19;;33;18;41;42;;;;;;;;;;;;;;;;;;;
AL-I;Data Quality;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;;Working value;Working value;Working value;Working value;Working value;Working value;;Working value;Working value;Working value;Working value;Working value;;;Working value;Working value;;;Working value;Working value;Provisional value;;;Working value;Provisional value;Working value;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Provisional value;;Working value;;Working value;;Provisional value;;Working value;Working value;Working value;Working value;;Working value;Working value;;Working value;Working value;Working value;Working value;;;Working value;Working value;;Working value;;Working value;;;;Provisional value;Working value;Working value;;;Working value;Working value;Working value;Working value;Working value;;Working value;;Provisional value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;Working value;;;;;;;;;;;;;;;;;;Provisional value;
AN-G;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O+;H2O-;;K2O;;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cr2O3;SrO;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;;Hf;Hg;Ho;I;In;;K;La;Li;Lu;Mg;Mn;Mo;;Na;Nb;Nd;Ni;;;P;Pb;;Pr;;Rb;;;;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon-Total;;;;;;;;;;;;;;;;;Loss on Ignition;
AN-G;Concentration;29.8;15.9;0.13;0.87;3.36;2.24;0.61;0.11;;0.13;;1.8;0.04;1.63;0.01;46.3;0.22;0.000161;0.0037961;0.00730775;0.008987837;0.00248952;0.001485;99.797;0.04;15.76;0.2;0.0018;0.5;34;0.3;0.05;3;;11.37;0.08;4.7;300;25;50;0.05;19;1.2;0.75;0.37;120;2.35;18;0.9;0.8;;0.38;0.04;0.28;0.03;0.02;;1080;2.2;12.5;0.12;1.08;310;0.2;;1.21;0.7;2.4;35;;;40;2;;0.6;;1;;;;140;0.1;10;0.06;21.62;0.7;0.4;76;0.18;0.2;;0.04;1320;0.02;0.14;0.12;70;105;9;0.8;20;11;350;;;;;;;;;;;;;;;;;0.65;
